Zone Timestep,THERMAL ZONE 1:Zone Mean Air Temperature[C],THERMAL ZONE 2:Zone Mean Air Temperature[C],THERMAL ZONE 3:Zone Mean Air Temperature[C]
2006-Jan-02 19:20:00,24.237335782426037,24.713432784899435,24.218718451489046
2006-Jan-02 19:30:00,24.243059513406422,24.717633546532753,24.21300314042008
2006-Jan-02 19:40:00,24.244661325137677,24.71546949058456,24.202986431177465
2006-Jan-02 19:50:00,24.241977097357687,24.70710978757166,24.188470328087973
2006-Jan-02 20:00:00,24.235081020039164,24.69277936589173,24.169451596396808
2006-Jan-02 20:10:00,24.224155769114535,24.672730544035797,24.146745066361042
2006-Jan-02 20:20:00,24.20937667174011,24.64721372466027,24.120547272592816
2006-Jan-02 20:30:00,24.190899389250557,24.61647522868501,24.09054044803871
2006-Jan-02 20:40:00,24.168898836495057,24.580780010329505,24.056957771419906
2006-Jan-02 20:50:00,24.143601073539283,24.540438522938864,24.019698352059827
2006-Jan-02 21:00:00,24.115291468897137,24.49581991767366,23.97923343645888
2006-Jan-02 21:10:00,24.084310762249068,24.44735062408734,23.936262743173916
2006-Jan-02 21:20:00,24.05105170599837,24.395501304830347,23.890911871244327
2006-Jan-02 21:30:00,24.01597855592867,24.34076717747011,23.843171485580207
2006-Jan-02 21:40:00,23.979606240989984,24.28363349785842,23.793192483638315
2006-Jan-02 21:50:00,23.941516371007673,24.224535264132996,23.7412637939726
2006-Jan-02 22:00:00,23.901746046858932,24.16383003196063,23.6876849764918
2006-Jan-02 22:10:00,23.860684608572207,24.10179273434176,23.632976192242882
2006-Jan-02 22:20:00,23.818731220351243,24.038624847003195,23.57728597040115
2006-Jan-02 22:30:00,23.776098080721642,23.9744706262519,23.520573419626576
2006-Jan-02 22:40:00,23.732382929540766,23.909432663946703,23.46280020419548
2006-Jan-02 22:50:00,23.687466785859147,23.843584062191223,23.40397383889756
2006-Jan-02 23:00:00,23.64148181131498,23.776977166790665,23.344113047121
2006-Jan-02 23:10:00,23.594572106432054,23.709649807112473,23.283046190572637
2006-Jan-02 23:20:00,23.54679371447636,23.641628638295792,23.220725340211633
2006-Jan-02 23:30:00,23.498143937051502,23.572931326401566,23.157106080980896
2006-Jan-02 23:40:00,23.44860863647794,23.503567128354362,23.091931278758082
